Made from files: gal_rot_0_90_1.txt
G0.0 G10.0 G20.0 G30.0 G40.0 G50.0 G60.0 G70.0 G80.0 G90.0
freq vel vel_vlsr Tant freq_1 vel_1 vel_vlsr_1 Tant_1 freq_2 vel_2 vel_vlsr_2 Tant_2 freq_3 vel_3 vel_vlsr_3 Tant_3 freq_4 vel_4 vel_vlsr_4 Tant_4 freq_5 vel_5 vel_vlsr_5 Tant_5 freq_6 vel_6 vel_vlsr_6 Tant_6 freq_7 vel_7 vel_vlsr_7 Tant_7 freq_8 vel_8 vel_vlsr_8 Tant_8 freq_9 vel_9 vel_vlsr_9 Tant_9
1419.518875 227.4246 187.3546 145.893 1419.518875 229.6946 187.3546 142.328 1419.518875 230.6846 187.3546 140.788 1419.518875 230.3446 187.3546 141.244 1419.518875 228.7046 187.3546 139.48 1419.518875 225.8046 187.3546 138.536 1419.518875 221.7446 187.3546 137.685 1419.518875 216.6346 187.3546 137.015 1419.518875 210.6346 187.3546 139.088 1419.518875 203.9246 187.3546 139.059
1419.5282499999998 225.44344 185.37344 145.103 1419.5282499999998 227.71344 185.37344 142.623 1419.5282499999998 228.70344 185.37344 141.097 1419.5282499999998 228.36344 185.37344 141.218 1419.5282499999998 226.72344 185.37344 139.077 1419.5282499999998 223.82344 185.37344 138.405 1419.5282499999998 219.76344 185.37344 137.317 1419.5282499999998 214.65344 185.37344 136.699 1419.5282499999998 208.65344 185.37344 138.846 1419.5282499999998 201.94344 185.37344 139.375
1419.537625 223.4623 183.3923 145.929 1419.537625 225.7323 183.3923 142.878 1419.537625 226.7223 183.3923 141.33 1419.537625 226.3823 183.3923 140.69 1419.537625 224.7423 183.3923 139.574 1419.537625 221.8423 183.3923 138.691 1419.537625 217.7823 183.3923 137.828 1419.537625 212.6723 183.3923 137.288 1419.537625 206.6723 183.3923 139.429 1419.537625 199.9623 183.3923 139.533
1419.547 221.4812 181.4112 146.021 1419.547 223.7512 181.4112 142.692 1419.547 224.7412 181.4112 140.465 1419.547 224.4012 181.4112 141.373 1419.547 222.7612 181.4112 139.464 1419.547 219.8612 181.4112 139.19 1419.547 215.8012 181.4112 137.66 1419.547 210.6912 181.4112 136.947 1419.547 204.6912 181.4112 139.365 1419.547 197.9812 181.4112 139.078
1419.556375 219.50012 179.43012 145.134 1419.556375 221.77012 179.43012 142.01 1419.556375 222.76012 179.43012 140.893 1419.556375 222.42012 179.43012 140.838 1419.556375 220.78012 179.43012 139.414 1419.556375 217.88012 179.43012 138.589 1419.556375 213.82012 179.43012 137.996 1419.556375 208.71012 179.43012 137.036 1419.556375 202.71012 179.43012 138.484 1419.556375 196.00012 179.43012 138.736
1419.56575 217.51906 177.44906 145.825 1419.56575 219.78906 177.44906 142.375 1419.56575 220.77906 177.44906 140.952 1419.56575 220.43906 177.44906 141.166 1419.56575 218.79906 177.44906 139.712 1419.56575 215.89906 177.44906 138.499 1419.56575 211.83906 177.44906 137.513 1419.56575 206.72906 177.44906 137.447 1419.56575 200.72906 177.44906 139.365 1419.56575 194.01906 177.44906 139.186
1419.5751249999998 215.53804 175.46804 145.438 1419.5751249999998 217.80804 175.46804 142.197 1419.5751249999998 218.79804 175.46804 140.959 1419.5751249999998 218.45804 175.46804 140.807 1419.5751249999998 216.81804 175.46804 139.914 1419.5751249999998 213.91804 175.46804 138.918 1419.5751249999998 209.85804 175.46804 138.065 1419.5751249999998 204.74804 175.46804 137.037 1419.5751249999998 198.74804 175.46804 139.026 1419.5751249999998 192.03804 175.46804 139.254
1419.5845 213.55703 173.48703 145.106 1419.5845 215.82703 173.48703 142.77 1419.5845 216.81703 173.48703 141.334 1419.5845 216.47703 173.48703 141.157 1419.5845 214.83703 173.48703 139.172 1419.5845 211.93703 173.48703 139.013 1419.5845 207.87703 173.48703 137.62 1419.5845 202.76703 173.48703 137.044 1419.5845 196.76703 173.48703 139.278 1419.5845 190.05703 173.48703 138.475
1419.593875 211.57606 171.50606 145.382 1419.593875 213.84606 171.50606 142.184 1419.593875 214.83606 171.50606 140.262 1419.593875 214.49606 171.50606 140.727 1419.593875 212.85606 171.50606 139.262 1419.593875 209.95606 171.50606 138.571 1419.593875 205.89606 171.50606 137.378 1419.593875 200.78606 171.50606 137.172 1419.593875 194.78606 171.50606 138.726 1419.593875 188.07606 171.50606 138.922
1419.60325 209.59511 169.52511 145.51 1419.60325 211.86511 169.52511 142.605 1419.60325 212.85511 169.52511 141.076 1419.60325 212.51511 169.52511 141.302 1419.60325 210.87511 169.52511 139.337 1419.60325 207.97511 169.52511 139.162 1419.60325 203.91511 169.52511 136.962 1419.60325 198.80511 169.52511 137.033 1419.60325 192.80511 169.52511 139.39 1419.60325 186.09511 169.52511 139.81
1419.612625 207.61419 167.54419 145.47 1419.612625 209.88419 167.54419 142.534 1419.612625 210.87419 167.54419 141.006 1419.612625 210.53419 167.54419 140.804 1419.612625 208.89419 167.54419 139.774 1419.612625 205.99419 167.54419 138.748 1419.612625 201.93419 167.54419 137.637 1419.612625 196.82419 167.54419 137.542 1419.612625 190.82419 167.54419 139.323 1419.612625 184.11419 167.54419 138.882
1419.6219999999998 205.63329 165.56329 146.038 1419.6219999999998 207.90329 165.56329 142.86 1419.6219999999998 208.89329 165.56329 140.984 1419.6219999999998 208.55329 165.56329 141.685 1419.6219999999998 206.91329 165.56329 139.486 1419.6219999999998 204.01329 165.56329 139.065 1419.6219999999998 199.95329 165.56329 137.426 1419.6219999999998 194.84329 165.56329 136.896 1419.6219999999998 188.84329 165.56329 139.753 1419.6219999999998 182.13329 165.56329 139.469
1419.631375 203.65242 163.58242 145.334 1419.631375 205.92242 163.58242 142.221 1419.631375 206.91242 163.58242 140.799 1419.631375 206.57242 163.58242 140.623 1419.631375 204.93242 163.58242 139.393 1419.631375 202.03242 163.58242 138.847 1419.631375 197.97242 163.58242 137.823 1419.631375 192.86242 163.58242 137.247 1419.631375 186.86242 163.58242 139.331 1419.631375 180.15242 163.58242 139.083
1419.64075 201.67157 161.60157 145.376 1419.64075 203.94157 161.60157 142.262 1419.64075 204.93157 161.60157 141.375 1419.64075 204.59157 161.60157 140.758 1419.64075 202.95157 161.60157 140.038 1419.64075 200.05157 161.60157 138.46 1419.64075 195.99157 161.60157 137.39 1419.64075 190.88157 161.60157 136.883 1419.64075 184.88157 161.60157 139.332 1419.64075 178.17157 161.60157 138.998
1419.650125 199.69075 159.62075 145.769 1419.650125 201.96075 159.62075 142.24 1419.650125 202.95075 159.62075 140.809 1419.650125 202.61075 159.62075 141.628 1419.650125 200.97075 159.62075 139.483 1419.650125 198.07075 159.62075 138.891 1419.650125 194.01075 159.62075 137.501 1419.650125 188.90075 159.62075 136.786 1419.650125 182.90075 159.62075 139.533 1419.650125 176.19075 159.62075 139.387
1419.6595 197.70996 157.63996 146.001 1419.6595 199.97996 157.63996 143.19 1419.6595 200.96996 157.63996 141.117 1419.6595 200.62996 157.63996 141.701 1419.6595 198.98996 157.63996 140.334 1419.6595 196.08996 157.63996 139.201 1419.6595 192.02996 157.63996 137.899 1419.6595 186.91996 157.63996 136.749 1419.6595 180.91996 157.63996 139.575 1419.6595 174.20996 157.63996 139.987
1419.6688749999998 195.7292 155.6592 144.748 1419.6688749999998 197.9992 155.6592 142.634 1419.6688749999998 198.9892 155.6592 141.104 1419.6688749999998 198.6492 155.6592 140.9 1419.6688749999998 197.0092 155.6592 139.894 1419.6688749999998 194.1092 155.6592 138.613 1419.6688749999998 190.0492 155.6592 137.596 1419.6688749999998 184.9392 155.6592 137.118 1419.6688749999998 178.9392 155.6592 139.358 1419.6688749999998 172.2292 155.6592 138.701
1419.67825 193.74846 153.67846 145.13 1419.67825 196.01846 153.67846 143.053 1419.67825 197.00846 153.67846 140.475 1419.67825 196.66846 153.67846 140.7 1419.67825 195.02846 153.67846 139.603 1419.67825 192.12846 153.67846 138.278 1419.67825 188.06846 153.67846 136.806 1419.67825 182.95846 153.67846 136.913 1419.67825 176.95846 153.67846 139.042 1419.67825 170.24846 153.67846 138.964
