freq vel_sub vel Tant_raw Tant_corr
1420.568875 -34.37264 8.95736 184.493 44.042615423083504
1420.5594999999998 -32.39438 10.93562 183.837 43.396321419665384
1420.550125 -30.4161 12.9139 180.234 39.80277299444984
1420.54075 -28.43779 14.89221 175.924 35.501970185564176
1420.531375 -26.45945 16.87055 171.49 31.076912981429018
1420.522 -24.48109 18.84891 166.903 26.49860132719121
1420.5126249999998 -22.5027 20.8273 163.954 23.55803525711798
1420.50325 -20.52429 22.80571 161.237 20.849214718929147
1420.493875 -18.54585 24.78415 158.884 18.504139744318337
1420.4845 -16.56738 26.76262 155.709 15.336810321705457
1420.475125 -14.58889 28.74111 153.726 13.361226402669928
1420.4657499999998 -12.61037 30.71963 152.255 11.897388015044982
1420.456375 -10.63183 32.69817 150.722 10.371295112983319
1420.447 -8.65326 34.67674 150.033 9.688947721744313
